"student_id","last_name","first_name","email","birth_date","hometown","math_score","literature_score","english_score"
"SV0001","Đặng","","","2002-01-06","Đà Lạt","","8.90","0.84"
"SV0002","Võ","","","2000-04-25","Nam Định","1.07","7.96","5.51"
"SV0003","","","","2003-08-15","Thái Nguyên","","",""
"SV0004","Nguyễn","Hùng","hung.nguyen4@example.com","2000-12-11","Khánh Hòa","2.22","","2.42"
"SV0005","Đặng","Uyên","","","Bình Dương","2.20","0.94",""
"SV0006","Võ","Quân","quan.vo6@example.com","2000-11-12","Yên Bái","","8.46","4.48"
"SV0007","Hồ","Linh","linh.ho7@example.com","2005-12-26","Long An","4.60","4.10","7.06"
"SV0008","Hoàng","","","2000-05-26","Phú Thọ","","2.86","0.73"
"SV0009","Lý","Uyên","uyen.ly9@example.com","","","","5.77","6.14"
"SV0010","Trần","Yến","","2006-04-29","Hà Giang","0.26","4.83","7.39"
"SV0011","","Sơn","","2003-03-02","Bình Định","","",""
"SV0012","Bùi","Yến","yen.bui12@example.com","2002-03-30","Hà Nam","2.52","6.32","9.07"
"SV0013","Phạm","Sơn","son.pham13@example.com","2005-12-29","Lào Cai","1.84","","6.62"
"SV0014","Huỳnh","Nam","nam.huynh14@example.com","2006-10-28","","6.74","9.23","6.40"
"SV0015","","Nam","","","","0.58","1.88","5.84"
"SV0016","Nguyễn","Tâm","tam.nguyen16@example.com","","Quảng Nam","4.31","4.82","1.71"
"SV0017","Võ","","","2002-09-23","Hà Tĩnh","3.59","2.23","5.05"
"SV0018","Võ","Phong","phong.vo18@example.com","2002-02-08","Thừa Thiên Huế","","","2.43"
"SV0019","Nguyễn","Mai","","","Nam Định","","6.88",""
"SV0020","Nguyễn","","","2001-03-12","Tây Ninh","","6.28","6.01"
"SV0021","","Phong","","2006-06-09","","1.29","",""
"SV0022","","Khoa","","2006-12-08","Cần Thơ","9.41","6.47",""
"SV0023","Đỗ","Tâm","tam.do23@example.com","2000-06-03","Long An","1.23","","7.85"
"SV0024","Huỳnh","An","","2003-03-07","Lai Châu","5.47","","8.19"
"SV0025","Hồ","Hà","ha.ho25@example.com","","","","",""
"SV0026","Trần","Chi","chi.tran26@example.com","2004-10-06","Hải Dương","4.42","8.53","7.72"
"SV0027","Huỳnh","","","2002-07-29","Thái Nguyên","","4.29","1.16"
"SV0028","","An","","2000-07-19","Sơn La","0.31","5.00","9.18"
"SV0029","Dương","Văn","van.duong29@example.com","2003-06-12","An Giang","5.78","5.36","9.65"
"SV0030","Hồ","Văn","van.ho30@example.com","2002-03-05","Cao Bằng","8.95","2.69",""
"SV0031","Phạm","Văn","van.pham31@example.com","2002-08-29","Bắc Giang","1.75","","0.46"
